,name,schadstoff,typ,x,y,id
0,Datteln-Hagem,Stickstoffdioxid,vorstädtisches Gebiet,7.331405,51.641383,0
1,Lünen-Niederaden,Stickstoffdioxid,vorstädtisches Gebiet,7.569838,51.592206,1
2,Dortmund-Eving,Stickstoffdioxid,städtisches Gebiet,7.457463,51.536911,2
3,Unna-Königsborn,Stickstoffdioxid,vorstädtisches Gebiet,7.693835,51.547495,3
4,Bottrop-Welheim,Stickstoffdioxid,städtisches Gebiet,6.976908,51.525963,4
5,Gelsenkirchen-Bismarck,Stickstoffdioxid,vorstädtisches Gebiet,7.101786,51.533646,5
6,Essen-Vogelheim,Stickstoffdioxid,städtisches Gebiet,6.981045,51.496527,6
7,Hattingen-Blankenstein,Stickstoffdioxid,vorstädtisches Gebiet,7.208572,51.403005,7
8,Wesel-Feldmark,Stickstoffdioxid,vorstädtisches Gebiet,6.629576,51.672809,8
9,Duisburg-Walsum,Stickstoffdioxid,städtisches Gebiet,6.748402,51.524022,9
10,Duisburg-Walsum,Stickstoffdioxid,städtisches Gebiet,6.748402,51.524022,10
11,Mülheim-Styrum,Stickstoffdioxid,städtisches Gebiet,6.865107,51.45346,11
12,Essen-Ost Steeler Straße,Stickstoffdioxid,städtisches Gebiet,7.030603,51.451177,12
13,Essen-Ost Steeler Straße,Stickstoffdioxid,städtisches Gebiet,7.030603,51.451177,13
14,Köln-Chorweiler,Stickstoffdioxid,städtisches Gebiet,6.884636,51.019345,14
15,Hürth,Stickstoffdioxid,vorstädtisches Gebiet,6.873789,50.876121,15
16,Köln-Rodenkirchen,Stickstoffdioxid,vorstädtisches Gebiet,6.985164,50.889814,16
17,Bonn-Auerberg,Stickstoffdioxid,vorstädtisches Gebiet,7.082676,50.75364,17
18,Simmerath (Eifel),Stickstoffdioxid,ländlich regional,6.281069,50.653236,18
19,Netphen (Rothaargebirge),Stickstoffdioxid,ländlich regional,8.191932,50.930328,19
20,Nettetal-Kaldenkirchen,Stickstoffdioxid,ländlich stadtnah,6.195868,51.326943,20
21,Bielefeld-Ost,Stickstoffdioxid,städtisches Gebiet,8.548389,52.023169,21
22,Soest-Ost,Stickstoffdioxid,ländlich stadtnah,8.148061,51.570662,22
23,Düsseldorf-Lörick,Stickstoffdioxid,städtisches Gebiet,6.732383,51.249211,23
24,Ratingen-Tiefenbroich,Stickstoffdioxid,vorstädtisches Gebiet,6.819967,51.303919,24
25,Leverkusen-Manfort,Stickstoffdioxid,vorstädtisches Gebiet,7.005063,51.028879,25
26,Solingen-Wald,Stickstoffdioxid,vorstädtisches Gebiet,7.052634,51.183773,26
27,Borken-Gemen,Stickstoffdioxid,ländlich stadtnah,6.874554,51.862,27
28,Düsseldorf Corneliusstraße,Stickstoffdioxid,städtisches Gebiet,6.782565,51.21311,28
29,Düsseldorf Corneliusstraße,Stickstoffdioxid,städtisches Gebiet,6.782565,51.21311,29
30,Aachen-Burtscheid,Stickstoffdioxid,städtisches Gebiet,6.093923,50.754704,30
31,Münster-Geist,Stickstoffdioxid,städtisches Gebiet,7.611581,51.936547,31
32,Mönchengladbach Düsseldorfer Straße,Stickstoffdioxid,städtisches Gebiet,6.458842,51.169967,32
33,Dortmund Steinstraße,Stickstoffdioxid,städtisches Gebiet,7.464347,51.519639,33
34,Duisburg Kardinal-Galen-Straße,Stickstoffdioxid,städtisches Gebiet,6.771801,51.437708,34
35,Duisburg Kardinal-Galen-Straße,Stickstoffdioxid,städtisches Gebiet,6.771801,51.437708,35
36,Wuppertal-Langerfeld,Stickstoffdioxid,städtisches Gebiet,7.231895,51.277647,36
37,Krefeld (Hafen),Stickstoffdioxid,vorstädtisches Gebiet,6.670195,51.342561,37
38,Hagen Graf-von-Galen-Ring,Stickstoffdioxid,städtisches Gebiet,7.46353,51.362829,38
39,Essen Gladbecker Straße,Stickstoffdioxid,städtisches Gebiet,7.005278,51.477931,39
40,Essen Gladbecker Straße,Stickstoffdioxid,städtisches Gebiet,7.005278,51.477931,40
41,Dortmund Brackeler Straße,Stickstoffdioxid,städtisches Gebiet,7.483597,51.523567,41
42,Dortmund Brackeler Straße,Stickstoffdioxid,städtisches Gebiet,7.483597,51.523567,42
43,Hagen Wehringhauser Straße,Stickstoffdioxid,städtisches Gebiet,7.453887,51.354904,43
44,Köln Justinianstraße,Stickstoffdioxid,städtisches Gebiet,6.978026,50.938542,44
45,Köln Neumarkt,Stickstoffdioxid,städtisches Gebiet,6.947953,50.935545,45
46,Paderborn Bahnhofstraße,Stickstoffdioxid,städtisches Gebiet,8.744098,51.714573,46
47,Paderborn Friedrichstraße 29,Stickstoffdioxid,städtisches Gebiet,8.747085,51.718696,47
48,Essen Alfredstraße 9/11,Stickstoffdioxid,städtisches Gebiet,7.004406,51.440205,48
49,Essen Brückstraße,Stickstoffdioxid,städtisches Gebiet,7.00111,51.38818,49
50,Mönchengladbach Aachener Straße 426/428,Stickstoffdioxid,städtisches Gebiet,6.409975,51.182463,50
51,Remscheid Freiheitstraße,Stickstoffdioxid,städtisches Gebiet,7.18192,51.178034,51
52,Essen In der Baumschule,Stickstoffdioxid,städtisches Gebiet,7.005478,51.478487,52
53,Essen Hombrucher Straße 21/23,Stickstoffdioxid,städtisches Gebiet,7.047134,51.457314,53
54,Neuss Friedrichstraße 29,Stickstoffdioxid,städtisches Gebiet,6.692515,51.193975,54
55,Bonn Reuterstraße 24,Stickstoffdioxid,städtisches Gebiet,7.097058,50.722581,55
56,Bonn Bornheimer Straße 35a,Stickstoffdioxid,städtisches Gebiet,7.087619,50.736963,56
57,Aachen Adalbertsteinweg,Stickstoffdioxid,städtisches Gebiet,6.097338,50.774694,57
58,Schwerte,Stickstoffdioxid,städtisches Gebiet,7.582295,51.448762,58
59,Warstein,Stickstoffdioxid,städtisches Gebiet,8.360714,51.443012,59
60,Dortmund B1 Westfalendamm,Stickstoffdioxid,städtisches Gebiet,7.503074,51.504083,60
61,Dortmund B1 Rheinlanddamm,Stickstoffdioxid,städtisches Gebiet,7.480949,51.500589,61
62,Bielefeld Stapenhorststraße 59,Stickstoffdioxid,städtisches Gebiet,8.521576,52.026236,62
63,Mülheim Aktienstraße 152/154,Stickstoffdioxid,städtisches Gebiet,6.896149,51.441164,63
64,Oberhausen Mülheimer Straße 117,Stickstoffdioxid,städtisches Gebiet,6.863657,51.474971,64
65,Wuppertal Gathe,Stickstoffdioxid,städtisches Gebiet,7.147401,51.260681,65
66,Hamm Münsterstraße,Stickstoffdioxid,städtisches Gebiet,7.809711,51.689266,66
67,Bielefeld Detmolder Straße,Stickstoffdioxid,städtisches Gebiet,8.552804,52.005624,67
68,Bottrop Peterstraße,Stickstoffdioxid,städtisches Gebiet,6.924268,51.519262,68
69,Herne Recklinghauser Straße,Stickstoffdioxid,städtisches Gebiet,7.150186,51.543141,69
70,Aachen Wilhelmstraße,Stickstoffdioxid,städtisches Gebiet,6.095775,50.773131,70
71,Aachen Wilhelmstraße,Stickstoffdioxid,städtisches Gebiet,6.095775,50.773131,71
72,Gelsenkirchen Kurt-Schumacher-Straße,Stickstoffdioxid,städtisches Gebiet,7.084597,51.527883,72
73,Oberhausen Mülheimer Straße 116,Stickstoffdioxid,städtisches Gebiet,6.86396,51.475005,73
74,Erwitte Soester Straße 9A,Stickstoffdioxid,städtisches Gebiet,8.334714,51.611676,74
75,Köln Clevischer Ring 3,Stickstoffdioxid,städtisches Gebiet,7.00459,50.962857,75
76,Köln Turiner Straße,Stickstoffdioxid,städtisches Gebiet,6.957701,50.947367,76
77,Overath Hauptstraße 55,Stickstoffdioxid,städtisches Gebiet,7.285858,50.932806,77
78,Essen-Frohnhausen,Stickstoffdioxid,städtisches Gebiet,6.975815,51.443197,78
79,Düsseldorf-Bilk,Stickstoffdioxid,städtisches Gebiet,6.776388,51.202464,79
80,Köln-Weiden,Stickstoffdioxid,städtisches Gebiet,6.835109,50.938052,80
81,Halle (Westfalen) Lange Straße,Stickstoffdioxid,städtisches Gebiet,8.360942,52.061461,81
82,Gevelsberg Hagener Straße,Stickstoffdioxid,städtisches Gebiet,7.344286,51.320635,82
83,Bielefeld Stapenhorststraße 42,Stickstoffdioxid,städtisches Gebiet,8.522293,52.02596,83
84,Bönen Bönener Straße,Stickstoffdioxid,städtisches Gebiet,7.750195,51.61074,84
85,Langenfeld Schneiderstraße,Stickstoffdioxid,städtisches Gebiet,6.96917,51.120018,85
86,Witten-Zentrum,Stickstoffdioxid,städtisches Gebiet,7.337297,51.438218,86
87,Essen-Schuir (LANUV),Stickstoffdioxid,vorstädtisches Gebiet,6.965643,51.406968,87
88,Essen-Schuir (LANUV),Stickstoffdioxid,vorstädtisches Gebiet,6.965643,51.406968,88
89,Köln-Junkersdorf Statthalterhofweg 70,Stickstoffdioxid,städtisches Gebiet,6.857614,50.931615,89
90,Köln-Junkersdorf Jungbluthbrücke,Stickstoffdioxid,städtisches Gebiet,6.85028,50.93095,90
91,Krefeld Kölner Straße 209,Stickstoffdioxid,städtisches Gebiet,6.574775,51.317847,91
92,Krefeld Oranierring,Stickstoffdioxid,städtisches Gebiet,6.553999,51.340374,92
93,Duisburg Friedrich-Ebert-Straße 30,Stickstoffdioxid,städtisches Gebiet,6.711915,51.411535,93
94,Hagen Enneper Straße,Stickstoffdioxid,städtisches Gebiet,7.395867,51.339466,94
95,Mönchengladbach Friedrich-Ebert-Straße,Stickstoffdioxid,städtisches Gebiet,6.439975,51.169437,95
96,Münster Weseler Straße,Stickstoffdioxid,städtisches Gebiet,7.619387,51.953267,96
97,Münster Weseler Straße,Stickstoffdioxid,städtisches Gebiet,7.619387,51.953267,97
98,Dinslaken Hans-Böckler-Straße 9,Stickstoffdioxid,städtisches Gebiet,6.741891,51.562254,98
99,Düren Euskirchener Straße,Stickstoffdioxid,städtisches Gebiet,6.494618,50.80413,99
100,Hürth Luxemburger Straße 344,Stickstoffdioxid,städtisches Gebiet,6.889934,50.879855,100
101,Münster Steinfurter Straße 11,Stickstoffdioxid,städtisches Gebiet,7.613536,51.968324,101
102,Münster Bült,Stickstoffdioxid,städtisches Gebiet,7.631364,51.963339,102
103,Siegen Frankfurter Straße,Stickstoffdioxid,städtisches Gebiet,8.026075,50.870851,103
104,Dinslaken Hünxer Straße,Stickstoffdioxid,städtisches Gebiet,6.743404,51.563935,104
105,Essen Krayer Straße 213,Stickstoffdioxid,städtisches Gebiet,7.080298,51.465642,105
106,Recklinghausen Kaiserwall,Stickstoffdioxid,städtisches Gebiet,7.201686,51.613624,106
107,Hagen Märkischer Ring 85,Stickstoffdioxid,städtisches Gebiet,7.477383,51.360378,107
108,Eschweiler Indestraße,Stickstoffdioxid,städtisches Gebiet,6.264315,50.820557,108
109,Neuss Krefelder Straße,Stickstoffdioxid,ländliches Gebiet,6.685209,51.202242,109
110,Neuss Batteriestraße,Stickstoffdioxid,städtisches Gebiet,6.693266,51.201385,110
111,Mettmann Breite Straße 10,Stickstoffdioxid,städtisches Gebiet,6.978922,51.249869,111
112,Schwerte Hörder Straße,Stickstoffdioxid,städtisches Gebiet,7.56363,51.44654,112
113,Dinslaken Wilhelm-Lantermann-Straße 33,Stickstoffdioxid,städtisches Gebiet,6.740467,51.564642,113
114,Emmerich-Elten Schmidtstraße 3,Stickstoffdioxid,städtisches Gebiet,6.16048,51.8724,114
115,Recklinghausen Bochumer Straße,Stickstoffdioxid,städtisches Gebiet,7.213339,51.577208,115
116,Köln-Meschenich Brühler Landstraße,Stickstoffdioxid,vorstädtisches Gebiet,6.924825,50.858997,116
117,Gladbeck Grabenstraße 42,Stickstoffdioxid,ländliches Gebiet,6.997653,51.569886,117
118,Köln Dellbrücker Hauptstraße,Stickstoffdioxid,städtisches Gebiet,7.071003,50.978208,118
119,Mülheim Kölner Straße (B1),Stickstoffdioxid,vorstädtisches Gebiet,6.863392,51.368083,119
120,Jackerath,Stickstoffdioxid,ländliches Gebiet,6.451483,51.033834,120
121,Düsseldorf-Lohausen,Stickstoffdioxid,städtisches Gebiet,6.753747,51.269503,121
122,Bochum Herner Straße 385,Stickstoffdioxid,städtisches Gebiet,7.211139,51.512561,122
123,Köln Hauptstraße,Stickstoffdioxid,städtisches Gebiet,7.055722,50.883711,123
124,Kamen Bahnhofstraße 21,Stickstoffdioxid,städtisches Gebiet,7.662739,51.588658,124
125,Meerbusch Meerbuscher Straße,Stickstoffdioxid,städtisches Gebiet,6.641622,51.267083,125
126,Köln Luxemburger Straße,Stickstoffdioxid,städtisches Gebiet,6.932681,50.920406,126
127,Jüchen-Hochneukirch,Stickstoffdioxid,ländlich stadtnah,6.469463,51.097638,127
128,Duisburg-Bruckhausen,Stickstoffdioxid,städtisches Gebiet,6.735431,51.485492,128
129,Düsseldorf Volmerswerther Deich,Stickstoffdioxid,vorstädtisches Gebiet,6.75952,51.184426,129
130,Düsseldorf Ludenberger Straße,Stickstoffdioxid,städtisches Gebiet,6.83315,51.240755,130
131,Siegen Sandstraße 18,Stickstoffdioxid,städtisches Gebiet,8.02382,50.875539,131
132,Düsseldorf (Flughafen 1),Stickstoffdioxid,städtisches Gebiet,6.76645,51.271822,132
133,Düsseldorf (Flughafen 2),Stickstoffdioxid,städtisches Gebiet,6.763922,51.269125,133
134,Düsseldorf (Flughafen 3),Stickstoffdioxid,städtisches Gebiet,6.753858,51.269567,134
135,Düsseldorf (Flughafen 4),Stickstoffdioxid,vorstädtisches Gebiet,6.769639,51.262039,135
136,Düsseldorf (Flughafen 5),Stickstoffdioxid,vorstädtisches Gebiet,6.810644,51.315067,136
137,Düsseldorf (Flughafen 6),Stickstoffdioxid,vorstädtisches Gebiet,6.824336,51.315061,137
138,Düsseldorf (Flughafen 7),Stickstoffdioxid,städtisches Gebiet,6.809969,51.289739,138
139,Düsseldorf (Flughafen 8),Stickstoffdioxid,städtisches Gebiet,6.78635,51.301569,139
140,Gelsenkirchen Grothusstraße,Stickstoffdioxid,städtisches Gebiet,7.060337,51.524281,140
141,Köln Lindweilerweg 144,Stickstoffdioxid,städtisches Gebiet,6.899453,50.995219,141
142,Düsseldorf Südring,Stickstoffdioxid,städtisches Gebiet,6.45683,51.12031,142
143,Leverkusen Gustav-Heinemann-Str.,Stickstoffdioxid,städtisches Gebiet,7.010934,51.031473,143
144,Lüdenscheid Lennestraße,Stickstoffdioxid,städtisches Gebiet,7.643095,51.227609,144
145,Köln Bergisch Gladbacher Straße,Stickstoffdioxid,städtisches Gebiet,7.047528,50.970389,145
146,Siegen Sandstraße 15,Stickstoffdioxid,städtisches Gebiet,8.020833,50.875594,146
147,Bielefeld-Innenstadt,Stickstoffdioxid,städtisches Gebiet,8.534306,52.023889,147
148,Düsseldorf Norfer Straße,Stickstoffdioxid,städtisches Gebiet,6.761111,51.200306,148
149,Paderborn-Schloss Neuhaus,Stickstoffdioxid,städtisches Gebiet,8.711944,51.743583,149
150,Bottrop Peterstraße 9,Stickstoffdioxid,städtisches Gebiet,6.924361,51.519167,150
151,Schwerte Hörder Straße 13,Stickstoffdioxid,städtisches Gebiet,7.563578,51.446714,151
152,Herne Recklinghauser Straße 4/6,Stickstoffdioxid,städtisches Gebiet,7.150192,51.543008,152
